Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
08/13/2026 18:52:41,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,242272
08/13/2026 18:52:41,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
08/13/2026 18:52:41,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,16808
08/13/2026 18:52:41,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
08/13/2026 18:52:41,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.04097110000000004
08/13/2026 18:52:41,System.Runtime,dotnet.timer.count ({timer}),Metric,0
08/13/2026 18:52:41,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,92
08/13/2026 18:52:41,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,1.109375
08/13/2026 18:52:41,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0
08/13/2026 18:52:41,System.Runtime,dotnet.process.memory.working_set (By),Metric,48091136
08/13/2026 18:52:41,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,456
08/13/2026 18:52:41,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,32
08/13/2026 18:52:41,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
08/13/2026 18:52:41,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,48
08/13/2026 18:52:41,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
08/13/2026 18:52:41,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
08/13/2026 18:52:41,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0.03274499999999997
08/13/2026 18:52:41,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,1334040384
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,14569472
08/13/2026 18:52:42,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
08/13/2026 18:52:42,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,1815
08/13/2026 18:52:42,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
08/13/2026 18:52:42,System.Runtime,dotnet.assembly.count ({assembly}),Metric,16
08/13/2026 18:52:42,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
08/13/2026 18:52:42,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,52
08/13/2026 18:52:42,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
08/13/2026 18:52:42,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,84
08/13/2026 18:52:42,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,560
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,242272
